# The 114 surah names, from the Quran.ws Terminology Standard's own
# registry (snapshot 499bc74667765196). This is the closed set the
# standard fixes: `code` is the identifier, `display` is what a reader
# is shown. Regenerate from the skill rather than editing by hand.
#
# number	code	arabic	display
1	fatihah	الفَاتِحَة	Fatihah
2	baqarah	البَقَرَة	Baqarah
3	aal_imran	آل عِمْرَان	Aal Imran
4	nisa	النِّسَاء	Nisa
5	maidah	المَائِدَة	Maidah
6	anam	الأَنْعَام	Anam
7	araf	الأَعْرَاف	Araf
8	anfal	الأَنْفَال	Anfal
9	tawbah	التَّوْبَة	Tawbah
10	yunus	يُونُس	Yunus
11	hud	هُود	Hud
12	yusuf	يُوسُف	Yusuf
13	rad	الرَّعْد	Rad
14	ibrahim	إِبْرَاهِيم	Ibrahim
15	hijr	الحِجْر	Hijr
16	nahl	النَّحْل	Nahl
17	isra	الإِسْرَاء	Isra
18	kahf	الكَهْف	Kahf
19	maryam	مَرْيَم	Maryam
20	taha	طه	Taha
21	anbiya	الأَنْبِيَاء	Anbiya
22	hajj	الحَجّ	Hajj
23	muminun	المُؤْمِنُون	Muminun
24	nur	النُّور	Nur
25	furqan	الفُرْقَان	Furqan
26	shuara	الشُّعَرَاء	Shuara
27	naml	النَّمْل	Naml
28	qasas	القَصَص	Qasas
29	ankabut	العَنْكَبُوت	Ankabut
30	rum	الرُّوم	Rum
31	luqman	لُقْمَان	Luqman
32	sajdah	السَّجْدَة	Sajdah
33	ahzab	الأَحْزَاب	Ahzab
34	saba	سَبَأ	Saba
35	fatir	فَاطِر	Fatir
36	yasin	يس	Yasin
37	saffat	الصَّافَّات	Saffat
38	saad	ص	Saad
39	zumar	الزُّمَر	Zumar
40	ghafir	غَافِر	Ghafir
41	fussilat	فُصِّلَت	Fussilat
42	shura	الشُّورَى	Shura
43	zukhruf	الزُّخْرُف	Zukhruf
44	dukhan	الدُّخَان	Dukhan
45	jathiyah	الجَاثِيَة	Jathiyah
46	ahqaf	الأَحْقَاف	Ahqaf
47	muhammad	مُحَمَّد	Muhammad
48	fath	الفَتْح	Fath
49	hujurat	الحُجُرَات	Hujurat
50	qaaf	ق	Qaaf
51	dhariyat	الذَّارِيَات	Dhariyat
52	tur	الطُّور	Tur
53	najm	النَّجْم	Najm
54	qamar	القَمَر	Qamar
55	rahman	الرَّحْمَن	Rahman
56	waqiah	الوَاقِعَة	Waqiah
57	hadid	الحَدِيد	Hadid
58	mujadilah	المُجَادِلَة	Mujadilah
59	hashr	الحَشْر	Hashr
60	mumtahinah	المُمْتَحِنَة	Mumtahinah
61	saff	الصَّفّ	Saff
62	jumuah	الجُمُعَة	Jumuah
63	munafiqun	المُنَافِقُون	Munafiqun
64	taghabun	التَّغَابُن	Taghabun
65	talaq	الطَّلَاق	Talaq
66	tahrim	التَّحْرِيم	Tahrim
67	mulk	المُلْك	Mulk
68	qalam	القَلَم	Qalam
69	haqqah	الحَاقَّة	Haqqah
70	maarij	المَعَارِج	Maarij
71	nuh	نُوح	Nuh
72	jinn	الجِنّ	Jinn
73	muzzammil	المُزَّمِّل	Muzzammil
74	muddaththir	المُدَّثِّر	Muddaththir
75	qiyamah	القِيَامَة	Qiyamah
76	insan	الإِنْسَان	Insan
77	mursalat	المُرْسَلَات	Mursalat
78	naba	النَّبَأ	Naba
79	naziat	النَّازِعَات	Naziat
80	abas	عَبَس	Abas
81	takwir	التَّكْوِير	Takwir
82	infitar	الاِنْفِطَار	Infitar
83	mutaffifin	المُطَفِّفِين	Mutaffifin
84	inshiqaq	الاِنْشِقَاق	Inshiqaq
85	buruj	البُرُوج	Buruj
86	tariq	الطَّارِق	Tariq
87	ala	الأَعْلَى	Ala
88	ghashiyah	الغَاشِيَة	Ghashiyah
89	fajr	الفَجْر	Fajr
90	balad	البَلَد	Balad
91	shams	الشَّمْس	Shams
92	layl	اللَّيْل	Layl
93	duha	الضُّحَى	Duha
94	sharh	الشَّرْح	Sharh
95	tin	التِّين	Tin
96	alaq	العَلَق	Alaq
97	qadr	القَدْر	Qadr
98	bayyinah	البَيِّنَة	Bayyinah
99	zalzalah	الزَّلْزَلَة	Zalzalah
100	adiyat	العَادِيَات	Adiyat
101	qariah	القَارِعَة	Qariah
102	takathur	التَّكَاثُر	Takathur
103	asr	العَصْر	Asr
104	humazah	الهُمَزَة	Humazah
105	fil	الفِيل	Fil
106	quraysh	قُرَيْش	Quraysh
107	maun	المَاعُون	Maun
108	kawthar	الكَوْثَر	Kawthar
109	kafirun	الكَافِرُون	Kafirun
110	nasr	النَّصْر	Nasr
111	masad	المَسَد	Masad
112	ikhlas	الإِخْلَاص	Ikhlas
113	falaq	الفَلَق	Falaq
114	nas	النَّاس	Nas
